"fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality","wine_type"
0.918283485073164,-1.65162498565493,0.36,0.804771390665606,-4.83273242321944,22,112,0.99,3.19,0.38,12.6,8,"white"
0.850084679313774,-0.635046010489626,0.14,1.30578986549938,-4.95267926383742,35,164,0.9918,3.53,0.51,12.5,8,"white"
0.913186650927337,-0.865803381559205,0.36,1.10557280900008,-4.89161527078441,28,156,0.991,3.11,0.4,12.4,7,"white"
0.8960286635185,-1.83165844680237,0.34,1.22150105583848,-5.08197818497166,36,91,0.9914,3.32,0.45,12.5,7,"white"
0.929892685297536,-1.49676640152698,0.79,1.42144314585963,-4.51826969357939,51,159,0.99839,2.98,0.44,8.7,5,"white"
0.923110940333675,-2.21349952953607,0.26,1.2494133749592,-3.96378130777141,41,224,0.9966,3.38,0.55,10.1,5,"white"
0.915770155080092,-1.59753955386447,0.33,0.174258141649446,-4.77589201004574,35,158,0.99082,3.02,0.58,11.3,6,"white"
0.904983832479652,-1.40457631228407,0.32,0.845299461620749,-4.72096779146769,38,93,0.9906,3.16,0.59,12,6,"white"
0.927690159283558,-1.65162498565493,0.42,1.46547751617515,-3.61115124588991,48,198,0.9979,2.89,0.42,8.9,6,"white"
0.904983832479652,-1.44968342105845,0.28,1.31400565942996,-4.21616905925538,54,210,0.9962,3.09,0.54,8.9,4,"white"
0.913186650927337,-1.96978343867561,0.32,1.27452374988999,-4.13967574727279,37,107,0.99332,3.12,0.44,10.7,7,"white"
0.8960286635185,-1.76839144980867,0.2,1.56147099034649,-4.77589201004574,58,184,1.00022,3.11,0.53,9,6,"white"
0.913186650927337,-1.83165844680237,0.37,1.24407105398155,-4.61641694430187,27,107,0.99206,2.98,0.82,11.5,6,"white"
0.913186650927337,-1.27971607877395,0.18,1.26970325665978,-4.47137938408981,71,223,0.9959,3.14,0.41,8.9,5,"white"
0.871541862903475,-2.21349952953607,0.22,1.05719095841794,-5.08197818497166,30,102,0.9938,3.24,0.36,9.4,6,"white"
0.923110940333675,-1.76839144980867,0.24,0.309691490542967,-4.47137938408981,17,159,0.99196,3.25,0.53,11.2,6,"white"
0.950894004510867,-1.54598995810615,0.41,0.651600275073516,-4.13967574727279,29,111,0.9941,2.96,0.44,10,5,"white"
0.920729509213876,-2.04555976652166,0.32,1.42740166568613,-4.17744428962463,36,125,0.9967,2.92,0.54,9.4,6,"white"
0.892857901533804,-1.49676640152698,0.44,1.22733259071374,-4.47137938408981,61,230,0.99505,3.12,0.4,8.9,5,"white"
0.932040111677782,-0.790575878096472,0.37,0.174258141649446,-4.83273242321944,5,57,0.99256,3.05,0.54,10.4,3,"white"
0.925430346231437,-1.76839144980867,0.37,1.47111411465205,-3.69164329249005,48,191,0.9978,2.89,0.38,9,6,"white"
0.923110940333675,-1.96978343867561,0.46,0.974021647914846,-4.47137938408981,82,187,0.9932,3.19,0.6,11.2,7,"white"
0.915770155080092,-1.65162498565493,0.37,1.19022366982108,-5.29668084279019,38,112,0.99086,3.19,0.34,12.4,6,"white"
0.910529937469434,-1.31971750595354,0.34,1.23303501115263,-3.80642421386948,51,215,0.99538,3.33,0.56,10.3,5,"white"
